"claim","review_url","claimer","text","headline","keywords","claim_date"
"http://data.gesis.org/claimskg/creative_work/4fd00f20-196e-5008-ac4d-f64949f45426","http://www.politifact.com/truth-o-meter/statements/2017/dec/20/donald-trump/pick-them-bin-donald-trump-mischaracterizes-divers/","Donald Trump","Says of the diversity visa lottery program, 'they give us their worst people, they put them in a bin,' and 'the worst of the worst' are selected.","Pick them from a bin? Donald Trump mischaracterizes diversity visa lottery","Homeland Security",2017-12-15
"http://data.gesis.org/claimskg/creative_work/86d51682-8ebd-5541-92b4-bdf21800cf28","http://www.politifact.com/california/statements/2017/aug/03/antonio-villaraigosa/mostly-true-undocumented-immigrants-less-likely-co/","Antonio Villaraigosa","'Undocumented immigrants commit less crimes than the native born.'","MOSTLY TRUE: Undocumented immigrants less likely to commit crimes than U.S. citizens","Crime,Corrections and Updates,The 2018 California Governor's Race",2017-07-31
"http://data.gesis.org/claimskg/creative_work/bac8b202-ee05-51ea-b948-96dda142ed4c","http://www.politifact.com/truth-o-meter/statements/2012/aug/10/american-principles-action/has-barack-obama-deported-more-people-any-other-pr/","American Principles in Action","Says Barack Obama 'has deported more people than any other president in this country's history.'","Has Barack Obama deported more people than any other president in U.S. history?","Message Machine 2012",2012-08-07
"http://data.gesis.org/claimskg/creative_work/01b326ce-374c-5f1d-a2f1-7c04d961bfb5","http://factscan.ca/justin-trudeau-the-minister-of-citizenship-and-immigration-said-that-the-hijab-was-an-indefensible-perversion-of-canadian-values/","Justin Trudeau","Justin Trudeau: 'The Minister of Citizenship and Immigration said that the hijab was an indefensible perversion of Canadian values.” - FactsCanada","Justin Trudeau: """"The Minister of Citizenship and Immigration said that the hijab was an indefensible perversion of Canadian values.” - FactsCanada","Justin Trudeau,LPC",2015-03-10
"http://data.gesis.org/claimskg/creative_work/5fd75ad8-4662-5c2e-8002-e2ae498dd899","http://www.politifact.com/georgia/statements/2010/jul/16/nathan-deal/nathan-deal-says-immigration-costs-georgians-more-/","Nathan Deal","'Illegal aliens are costing Georgia taxpayers over a billion dollars every year.'","Nathan Deal says immigration costs Georgians more than $1 billion","Message Machine 2010",2010-07-06
"http://data.gesis.org/claimskg/creative_work/0ad8d006-7c68-5fc7-a0b0-648318884d9f","http://www.politifact.com/truth-o-meter/statements/2011/nov/23/michele-bachmann/michele-bachmann-says-steve-jobs-told-obama-he-mov/","Michele Bachmann","Says Apple CEO Steve Jobs told President Obama that the company moved factories to China because it needed 30,000 engineers.","Michele Bachmann says Steve Jobs told Obama he moved factories to China for engineers","Foreign Policy,Jobs,Government regulation",2011-11-22
"http://data.gesis.org/claimskg/creative_work/459f6eb6-c97b-537b-b408-78a7de370075","http://www.politifact.com/truth-o-meter/statements/2017/jan/29/donald-trump/no-evidence-trump-claim-it-was-impossible-syrian-c/","Donald Trump","'If you were a Muslim, you could come in, if you were a Christian, it was impossible.'","No evidence for Trump claim that it was 'impossible' for Syrian Christians to enter U.S.","Foreign Policy,Religion",2017-01-27
"http://data.gesis.org/claimskg/creative_work/367690e7-6f2f-52ca-95d4-29485799e803","http://www.politifact.com/truth-o-meter/statements/2013/apr/19/blog-posting/immigrants-would-get-free-cell-phones-under-new-pr/","Bloggers","Proposed immigration legislation would give new immigrants 'a taxpayer-funded cellular phone.'","Immigrants would get free cell phones under new proposal, bloggers claim","Welfare",2013-04-17
"http://data.gesis.org/claimskg/creative_work/351da897-697d-5296-9595-6d10f46d1770","http://www.politifact.com/florida/statements/2017/mar/15/florida-conference-catholic-bishops/being-united-states-unlawfully-crime/","Florida Conference of Catholic Bishops","'Unlawful presence (in the United States) is not a crime.'","Is being in the United States unlawfully a 'crime'?","Legal Issues",2017-03-15
"http://data.gesis.org/claimskg/creative_work/b9bf3219-2af3-5fc6-903d-0fee7d00e8c1","http://www.politifact.com/truth-o-meter/statements/2014/jan/13/facebook-posts/facebook-post-says-constitution-exemption-zones-ex/","Facebook posts","A judge's order means there's a 'Constitution exemption zone' if you live 'within 100 miles of the United States border.'","Facebook post says 'Constitution exemption zones' extend 100 miles from U.S. borders","Privacy,Civil Rights,Technology",2014-01-05
