"claim","review_url","claimer","text","headline","keywords","claim_date"
"http://data.gesis.org/claimskg/creative_work/c8b06d69-af38-5041-ad79-d91f6bad882f","http://www.politifact.com/wisconsin/statements/2015/jul/31/scott-walker/scott-walker-says-his-last-budget-committed-more-n/","Scott Walker","'Our last budget committed the highest level of need-based financial aid in state history.'","Scott Walker says his last budget committed more to need-based financial aid than ever before","State Budget",2015-06-08
"http://data.gesis.org/claimskg/creative_work/118d3ec6-c5e6-5a06-a171-71f3851632ec","http://www.politifact.com/wisconsin/statements/2017/feb/27/restore-american-freedom-and-liberty/no-evidence-pacs-claim-tammy-baldwin-wants-require/","Restore American Freedom and Liberty","Says Tammy Baldwin 'wants to require children starting at age 5 to learn about gay sex!'","No evidence for PAC's claim that Tammy Baldwin 'wants to require children' to 'learn about gay sex'","Children,Gays and Lesbians,Sexuality,Government regulation",2017-02-16
"http://data.gesis.org/claimskg/creative_work/6d01af59-ff1d-5b9d-8efa-d296d33dc817","http://www.politifact.com/rhode-island/statements/2015/apr/30/rose-mary-grant/rose-mary-grant-says-ri-charter-schools-outperform/","Rose Mary Grant","Rhode Island 'charter schools are nationally recognized as outperforming their counterparts across the country.'","Rose Mary Grant says R.I. charter schools ‘outperform’ those in other states","Children,States",2015-03-29
"http://data.gesis.org/claimskg/creative_work/1b723e7b-f831-5553-ad3e-8176153305a0","http://www.politifact.com/texas/statements/2018/mar/15/beto-orourke/beto-orourke-says-parents-ptas-kids-chaos-shooters/","Beto O'Rourke","Says 'PTA meetings are now being conducted to help parents tell their kids' that if a guy with an AR-15 walks into their classroom, 'you are supposed to create as much chaos as you possibly can. They want you to scream and yell and dance around and throw books and just keep moving.'","Beto O'Rourke says parents told in PTA meetings that kids should create chaos to distract shooters","Children,Guns",2018-02-24
"http://data.gesis.org/claimskg/creative_work/658d7580-d64c-505d-a2c9-67cc0642001d","http://www.politifact.com/truth-o-meter/statements/2014/jun/09/chain-email/did-barack-obama-sign-bill-forgive-all-outstanding/","Chain email","'Obama Signs Bill Forgiving All Student Loan Debt.'","Did Barack Obama sign a bill to forgive all outstanding student debt? No","Financial Regulation",2014-06-05
"http://data.gesis.org/claimskg/creative_work/2f903cc0-5e73-5e8b-aeaf-42a36adfaac9","http://www.politifact.com/texas/statements/2010/dec/24/boyd-richie/democratic-chairman-says-republican-leaders-are-ca/","Boyd Richie","Says Texas Republican leaders 'have proposed laying off thousands of teachers.'","Democratic chairman says Republican leaders are calling for thousands of teacher layoffs","Jobs",2010-12-13
"http://data.gesis.org/claimskg/creative_work/16555f31-2802-5e85-8fa5-dd66268f7040","http://www.politifact.com/wisconsin/statements/2011/sep/19/al-sharpton/rev-al-sharpton-says-wisconsin-gov-walkers-budget-/","Al Sharpton","One Wisconsin school district 'is so worried about losing state funding that it has stopped giving milk to elementary school kids during snack time.'","Rev. Al Sharpton says Wisconsin Gov. Walker's budget cuts led school district to cut milk from school kids' snack time","State Budget,Pundits",2011-09-07
"http://data.gesis.org/claimskg/creative_work/187a7120-6686-55f7-9c1a-c94ae71fe999","http://www.politifact.com/oregon/statements/2012/sep/18/education-action-group/portland-schools-spending-half-million-dollars-dec/","Education Action Group","'Portland Schools spend $500K to deem PB&J sandwiches racist.'","Is Portland Schools spending half a million dollars to declare the peanut-butter-and-jelly sandwich racist?","Diversity",2012-09-16
"http://data.gesis.org/claimskg/creative_work/b947da45-79e2-5141-b6ad-06a04b82fd60","http://www.politifact.com/rhode-island/statements/2014/oct/19/Local-799-international-assoc-fire-fighters/providence-firefighters-union-says-elorza-wants-te/","Local 799 of the International Assoc. of Fire Fighters","'Elorza wants to teach our public school children about the ‘non-existence of God.’'","Providence firefighters’ union says Elorza wants to teach public school children God does not exist","Science,Unions,Religion,Negative Campaigning,Government regulation,Candidate Biography,Pop Culture,Legal Issues",2014-10-08
"http://data.gesis.org/claimskg/creative_work/4e74fd58-8aed-587d-9f16-06202d1fbdb3","http://www.politifact.com/wisconsin/statements/2012/dec/12/one-wisconsin-now/candidate-wisconsin-schools-chief-backed-biggest-e/","One Wisconsin Now","Says state schools superintendent candidate Don Pridemore 'voted for the largest cuts to public education in our state history' and for '$2.3 billion in tax breaks for corporations and the wealthy.'","Candidate for Wisconsin schools chief backed biggest education spending cuts in state history, liberal group says","Corporations,Small Business,State Budget",2012-12-03
